time, 5cm,20cm,50cm,5cm,20cm,50cm
735068,0.50311951,0.40987856,0.37321006,14.133428,14.138484,13.761174
735069,0.4890311,0.39843767,0.36635514,15.160582,14.527085,13.740719
735070,0.47663395,0.38961016,0.35868186,15.310399,15.002577,13.979877
735071,0.47363272,0.38645141,0.35344728,15.277253,14.953045,14.084511
735072,0.4647288,0.38234133,0.35090784,15.143145,14.995796,14.149598
735073,0.45471626,0.37818198,0.34879505,14.644525,14.592901,14.072492
735074,0.4285365,0.37394509,0.34730724,15.434672,14.921048,14.041434
735075,0.39533932,0.36752217,0.34400948,16.067009,15.467063,14.2582
735076,0.36707219,0.35722921,0.34204532,17.027743,16.023775,14.788529
735077,0.34666323,0.35198872,0.34026512,18.099383,16.860773,14.966996
735078,0.37354577,0.36189866,0.35036614,18.301127,17.405607,15.507978
735079,0.47643759,0.4004323,0.36669634,17.787768,17.396143,15.835727
735080,0.47109004,0.40113569,0.36996159,16.866121,16.905202,15.830285
735081,0.46885436,0.39376691,0.35948941,15.756689,16.105413,15.567718
735082,0.45475994,0.38802342,0.35462433,15.405574,15.613898,15.257553
735083,0.43557028,0.38180259,0.35123677,16.064471,15.651271,15.040122
735084,0.41649244,0.37492302,0.3483796,16.831932,16.318217,15.173622
735085,0.4101478,0.37252825,0.34624016,16.08461,16.039941,15.249066
735086,0.39479327,0.3683803,0.3442983,16.143569,15.9299,15.180751
735087,0.39125059,0.36455791,0.34239693,16.408364,16.05026,15.180611
735088,0.44906755,0.37107311,0.34133274,16.119803,16.079521,15.246925
735089,0.43452901,0.3710125,0.34091815,15.287046,15.548782,15.13575
735090,0.41898655,0.36859131,0.33943011,14.980287,15.135123,14.894573
735091,0.40247132,0.36554999,0.33866276,15.726353,15.403087,14.784607
735092,0.38072114,0.3624668,0.33732055,14.947058,15.160751,14.778101
735093,0.36013273,0.35767295,0.33632811,14.482306,14.749068,14.590518
735094,0.336484,0.35106488,0.33439864,14.853352,14.794809,14.448812
735095,0.31851636,0.34467148,0.33238116,15.115358,14.907668,14.427152
735096,0.32547953,0.34059541,0.33034611,15.901978,15.34295,14.508617
735097,0.3345608,0.33796615,0.32824888,16.575437,15.818078,14.727656
735098,0.32128737,0.33481454,0.32665503,16.780606,16.170272,14.98673
735099,0.31009837,0.33098978,0.32497193,16.748239,16.129083,15.12548
735100,0.29719423,0.32522015,0.3232294,17.416066,16.5166,15.250598
735101,0.27925957,0.31769488,0.32069626,18.381216,17.212158,15.539715
735102,0.26795231,0.31165303,0.31824735,18.789971,17.835516,15.955282
735103,0.26392807,0.30861544,0.31644224,18.474511,17.669545,16.145596
735104,0.25763168,0.30474226,0.31434851,17.651153,17.50256,16.253225
735105,0.25458734,0.30116884,0.31223109,16.525779,16.586518,16.027387
735106,0.25180587,0.29713651,0.31011032,16.847783,16.56842,15.815585
735107,0.268576,0.29669228,0.30867422,16.53819,16.470712,15.76584
735108,0.33571536,0.31999276,0.31286957,14.984505,15.75322,15.598041
735109,0.40752913,0.36383624,0.32519157,14.67147,14.933369,15.113448
735110,0.38694142,0.35676255,0.32344527,15.315872,15.273778,14.949191
735111,0.36907822,0.35096673,0.32250136,15.719331,15.463549,14.943061
735112,0.34924559,0.34511453,0.32079624,15.541589,15.593802,15.014933
