HDFname,Product,Date,Site,ProcessDate,Band,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
MOD15A2.A2004089.fn_usmafort.005.2007264114941.FparLai_QC,MOD15A2,A2004089,fn_usmafort,2007264114941,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004089.fn_usmafort.005.2007264114941.FparStdDev_1km,MOD15A2,A2004089,fn_usmafort,2007264114941,FparStdDev_1km,10,8,8,4,4,7,7,5,8,3,7,7,7,7,5,8,4,7,7,7,7,5,5,7,7,7,7,7,6,7,7,7,7,7,5,7,5,7,7,7,7,5,7,7,2,7,7,7,7
MOD15A2.A2004089.fn_usmafort.005.2007264114941.Fpar_1km,MOD15A2,A2004089,fn_usmafort,2007264114941,Fpar_1km,57,49,47,82,82,43,42,79,47,82,51,42,43,42,79,47,82,43,43,43,42,78,79,49,43,43,42,42,79,42,41,43,43,41,38,42,38,41,42,43,42,38,42,42,83,44,43,42,40
MOD15A2.A2004089.fn_usmafort.005.2007264114941.LaiStdDev_1km,MOD15A2,A2004089,fn_usmafort,2007264114941,LaiStdDev_1km,4,2,3,5,5,2,2,6,3,5,2,2,2,2,6,3,6,2,2,2,2,5,6,2,2,2,2,2,7,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,4,2,2,2,2
MOD15A2.A2004089.fn_usmafort.005.2007264114941.Lai_1km,MOD15A2,A2004089,fn_usmafort,2007264114941,Lai_1km,12,11,10,35,35,9,9,32,10,35,10,9,9,9,32,10,35,9,9,9,9,30,31,11,9,9,9,9,31,9,8,9,9,8,7,9,7,8,9,9,9,7,9,8,36,9,9,9,8
MOD15A2.A2004097.fn_usmafort.005.2007266005930.FparExtra_QC,MOD15A2,A2004097,fn_usmafort,2007266005930,FparExtra_QC,00000000,00001000,00000000,01000000,00000000,00000000,01000000,01000000,01000000,01000000,01000000,01000000,00000000,01000000,01000000,01000000,01000000,01000000,00000000,01000000,00000000,01000000,01000000,01000000,00000000,00000000,00000000,00000000,01000000,01000000,00000000,00000000,00000000,00000000,00000000,01000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004097.fn_usmafort.005.2007266005930.FparLai_QC,MOD15A2,A2004097,fn_usmafort,2007266005930,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004097.fn_usmafort.005.2007266005930.FparStdDev_1km,MOD15A2,A2004097,fn_usmafort,2007266005930,FparStdDev_1km,10,8,8,3,7,9,7,7,8,3,7,8,8,7,7,8,4,6,8,8,8,9,6,7,8,7,7,8,6,8,9,7,7,7,7,8,9,9,7,7,8,8,9,8,4,7,8,8,8
MOD15A2.A2004097.fn_usmafort.005.2007266005930.Fpar_1km,MOD15A2,A2004097,fn_usmafort,2007266005930,Fpar_1km,67,54,57,84,80,47,52,81,54,84,68,47,54,52,79,54,84,50,54,56,49,71,81,62,48,53,53,49,81,53,47,52,52,49,43,54,46,46,54,50,54,45,47,46,84,53,54,54,49
MOD15A2.A2004097.fn_usmafort.005.2007266005930.LaiStdDev_1km,MOD15A2,A2004097,fn_usmafort,2007266005930,LaiStdDev_1km,6,3,3,4,7,3,3,7,3,4,4,3,3,2,7,3,6,2,3,3,2,6,8,3,3,3,3,2,8,3,3,2,2,2,2,3,3,3,3,2,3,2,3,3,5,3,3,3,2
MOD15A2.A2004097.fn_usmafort.005.2007266005930.Lai_1km,MOD15A2,A2004097,fn_usmafort,2007266005930,Lai_1km,17,12,14,38,33,10,12,34,12,38,17,10,12,12,32,12,39,11,12,13,11,24,35,16,10,12,12,11,35,12,10,12,12,11,9,12,10,10,12,11,12,9,10,10,38,12,12,12,11
MOD15A2.A2004105.fn_usmafort.005.2007267063958.FparExtra_QC,MOD15A2,A2004105,fn_usmafort,2007267063958,FparExtra_QC,00000000,00001000,00001000,00001000,00000000,00001000,00001000,00000000,00001000,00001000,00001000,00001000,00001000,00001000,00000000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000
MOD15A2.A2004105.fn_usmafort.005.2007267063958.FparLai_QC,MOD15A2,A2004105,fn_usmafort,2007267063958,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004105.fn_usmafort.005.2007267063958.FparStdDev_1km,MOD15A2,A2004105,fn_usmafort,2007267063958,FparStdDev_1km,9,7,7,12,10,7,7,11,7,1,5,7,8,7,10,7,1,7,8,8,6,9,5,8,7,8,8,7,4,7,9,8,8,7,8,8,8,9,8,7,8,7,7,8,1,6,8,8,7
MOD15A2.A2004105.fn_usmafort.005.2007267063958.Fpar_1km,MOD15A2,A2004105,fn_usmafort,2007267063958,Fpar_1km,56,56,57,73,64,48,47,62,56,86,62,48,51,48,64,57,86,48,51,52,45,74,82,58,48,51,50,48,83,48,45,51,51,48,43,52,42,45,52,48,51,48,47,41,86,50,51,50,48
MOD15A2.A2004105.fn_usmafort.005.2007267063958.LaiStdDev_1km,MOD15A2,A2004105,fn_usmafort,2007267063958,LaiStdDev_1km,4,3,3,11,6,3,3,6,3,4,3,3,3,3,6,3,4,3,3,3,2,8,8,4,3,3,3,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3
MOD15A2.A2004105.fn_usmafort.005.2007267063958.Lai_1km,MOD15A2,A2004105,fn_usmafort,2007267063958,Lai_1km,15,16,16,31,23,12,12,22,16,50,17,12,14,12,23,16,49,12,14,14,11,31,42,17,12,13,13,12,44,13,11,14,13,12,10,14,10,11,14,12,13,12,12,10,48,13,14,13,12
MOD15A2.A2004113.fn_usmafort.005.2007268231339.FparExtra_QC,MOD15A2,A2004113,fn_usmafort,2007268231339,FparExtra_QC,00001000,00001000,01000000,01001000,01000000,00000000,00000000,01001000,00100000,00001000,01000000,01000000,01000000,00000000,01001000,01000000,01000000,01000000,01000000,01000000,00000000,01001000,01000000,01000000,01000000,01000000,01000000,00000000,01000000,01000000,01000000,01000000,01000000,00000000,00000000,01000000,01000000,01000000,01000000,01000000,00000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000
MOD15A2.A2004113.fn_usmafort.005.2007268231339.FparLai_QC,MOD15A2,A2004113,fn_usmafort,2007268231339,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004113.fn_usmafort.005.2007268231339.FparStdDev_1km,MOD15A2,A2004113,fn_usmafort,2007268231339,FparStdDev_1km,7,7,8,8,1,7,8,10,7,10,10,8,8,7,10,8,5,9,8,7,8,11,1,8,8,8,8,7,11,8,7,7,8,7,9,8,8,8,7,7,9,7,8,7,1,8,8,8,7
MOD15A2.A2004113.fn_usmafort.005.2007268231339.Fpar_1km,MOD15A2,A2004113,fn_usmafort,2007268231339,Fpar_1km,66,57,58,66,86,48,50,71,56,72,66,50,52,49,68,53,83,55,52,57,51,66,86,66,50,52,51,48,64,52,50,57,52,48,45,51,47,51,57,48,54,48,49,48,86,59,52,52,48
MOD15A2.A2004113.fn_usmafort.005.2007268231339.LaiStdDev_1km,MOD15A2,A2004113,fn_usmafort,2007268231339,LaiStdDev_1km,4,3,4,6,4,3,3,8,3,8,7,3,3,3,8,3,8,4,3,3,3,7,3,5,3,3,3,3,7,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,3,3,3
MOD15A2.A2004113.fn_usmafort.005.2007268231339.Lai_1km,MOD15A2,A2004113,fn_usmafort,2007268231339,Lai_1km,19,16,16,24,49,12,13,29,15,30,20,13,14,12,27,14,44,15,14,16,13,25,49,21,13,14,14,13,23,14,13,16,14,13,11,13,12,14,16,12,15,12,13,12,48,17,14,14,13
MOD15A2.A2004121.fn_usmafort.005.2007271092933.FparExtra_QC,MOD15A2,A2004121,fn_usmafort,2007271092933,FparExtra_QC,00001000,00110000,00110000,00001000,00001000,00110000,00110000,00000000,00000000,00001000,00001000,00100000,00110000,00110000,00000000,00000000,00001000,00110000,00110000,00110000,00110000,00001000,00001000,00001000,00001000,00001000,00001000,01000000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,01000000,01000000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000
MOD15A2.A2004121.fn_usmafort.005.2007271092933.FparLai_QC,MOD15A2,A2004121,fn_usmafort,2007271092933,FparLai_QC,00000000,00010000,00010000,00000000,00000000,00010000,00001000,00000000,00000000,00000000,00000000,00000000,00001000,00001000,00100000,00000000,00000000,00001000,00001000,00001000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004121.fn_usmafort.005.2007271092933.FparStdDev_1km,MOD15A2,A2004121,fn_usmafort,2007271092933,FparStdDev_1km,11,8,8,8,9,7,6,3,8,8,10,8,8,8,3,8,9,8,8,8,8,5,3,7,8,7,7,7,3,8,7,6,7,7,7,8,7,8,8,7,8,6,8,7,3,8,8,7,7
MOD15A2.A2004121.fn_usmafort.005.2007271092933.Fpar_1km,MOD15A2,A2004121,fn_usmafort,2007271092933,Fpar_1km,55,45,46,67,65,37,38,84,55,67,51,40,40,39,85,55,67,40,40,41,40,81,83,57,51,48,48,48,83,51,52,54,48,48,47,50,48,52,51,48,52,45,50,49,84,59,52,48,48
MOD15A2.A2004121.fn_usmafort.005.2007271092933.LaiStdDev_1km,MOD15A2,A2004121,fn_usmafort,2007271092933,LaiStdDev_1km,5,3,3,6,6,2,2,7,3,6,4,2,3,2,8,4,6,3,3,3,3,8,7,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,6,4,3,3,3
MOD15A2.A2004121.fn_usmafort.005.2007271092933.Lai_1km,MOD15A2,A2004121,fn_usmafort,2007271092933,Lai_1km,15,11,12,25,24,9,9,46,15,25,13,9,9,9,48,15,25,9,10,10,9,41,43,16,13,12,12,12,44,14,14,15,12,12,12,13,13,14,14,12,14,11,13,12,45,17,14,13,12
MOD15A2.A2004129.fn_usmafort.005.2007274143210.FparExtra_QC,MOD15A2,A2004129,fn_usmafort,2007274143210,FparExtra_QC,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000
MOD15A2.A2004129.fn_usmafort.005.2007274143210.FparLai_QC,MOD15A2,A2004129,fn_usmafort,2007274143210,FparLai_QC,00000000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000
MOD15A2.A2004129.fn_usmafort.005.2007274143210.FparStdDev_1km,MOD15A2,A2004129,fn_usmafort,2007274143210,FparStdDev_1km,9,5,6,1,1,6,6,1,1,1,1,7,7,7,1,5,1,6,8,7,6,3,2,6,6,7,7,9,2,5,7,4,6,8,7,6,6,5,7,8,7,8,5,8,1,4,7,7,8
MOD15A2.A2004129.fn_usmafort.005.2007274143210.Fpar_1km,MOD15A2,A2004129,fn_usmafort,2007274143210,Fpar_1km,74,89,88,89,89,88,88,89,93,89,95,87,87,86,89,89,89,88,85,87,89,86,88,88,88,87,87,85,88,88,86,90,87,85,87,88,89,89,87,86,88,86,89,86,88,91,87,87,85
MOD15A2.A2004129.fn_usmafort.005.2007274143210.LaiStdDev_1km,MOD15A2,A2004129,fn_usmafort,2007274143210,LaiStdDev_1km,11,12,13,6,6,12,13,6,5,4,7,13,13,14,4,11,5,12,14,14,12,10,8,13,13,13,13,15,8,12,14,11,13,14,14,13,13,12,13,14,13,14,12,14,7,11,14,13,14
MOD15A2.A2004129.fn_usmafort.005.2007274143210.Lai_1km,MOD15A2,A2004129,fn_usmafort,2007274143210,Lai_1km,27,51,50,60,60,50,49,61,62,62,61,47,47,47,62,51,61,49,45,47,52,51,56,48,49,48,48,45,56,50,46,53,48,45,47,50,53,50,48,46,49,46,51,45,59,56,48,47,45
MOD15A2.A2004137.fn_usmafort.005.2007278053857.FparExtra_QC,MOD15A2,A2004137,fn_usmafort,2007278053857,FparExtra_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,01000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,01000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,01000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004137.fn_usmafort.005.2007278053857.FparLai_QC,MOD15A2,A2004137,fn_usmafort,2007278053857,FparLai_QC,00000000,00100000,00100000,01100001,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00000000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000
MOD15A2.A2004137.fn_usmafort.005.2007278053857.FparStdDev_1km,MOD15A2,A2004137,fn_usmafort,2007278053857,FparStdDev_1km,8,4,1,248,1,4,4,1,5,1,8,6,5,5,1,5,1,4,6,5,4,3,1,4,4,4,5,6,2,5,10,3,3,5,3,2,6,4,5,6,4,6,3,10,1,4,6,4,5
MOD15A2.A2004137.fn_usmafort.005.2007278053857.Fpar_1km,MOD15A2,A2004137,fn_usmafort,2007278053857,Fpar_1km,81,90,93,87,89,89,89,88,88,89,85,88,88,88,88,88,89,89,87,88,89,85,89,89,90,89,88,87,88,88,83,91,91,88,90,91,88,89,88,87,89,88,91,83,89,90,88,89,88
MOD15A2.A2004137.fn_usmafort.005.2007278053857.LaiStdDev_1km,MOD15A2,A2004137,fn_usmafort,2007278053857,LaiStdDev_1km,12,11,5,248,5,11,11,7,12,4,15,12,12,12,7,12,4,11,13,12,11,7,6,11,10,11,12,13,8,12,15,9,9,12,10,8,12,11,12,13,11,12,9,16,4,11,12,11,12
MOD15A2.A2004137.fn_usmafort.005.2007278053857.Lai_1km,MOD15A2,A2004137,fn_usmafort,2007278053857,Lai_1km,34,53,64,56,61,51,51,59,50,62,41,48,49,49,59,49,62,51,47,50,51,46,61,50,52,51,50,48,57,49,43,55,55,49,53,56,49,51,49,47,50,48,55,43,62,52,48,50,49
MOD15A2.A2004145.fn_usmafort.005.2007280224610.FparExtra_QC,MOD15A2,A2004145,fn_usmafort,2007280224610,FparExtra_QC,00000000,00000000,00000000,00000000,00000000,00000000,00100000,00000000,00100000,00000000,00000000,00001000,00001000,00000000,00000000,00000000,00000000,00001000,00100000,01000000,00100000,00000000,00000000,00000000,00000000,00000000,01000000,00000000,00000000,00000000,00000000,00000000,00000000,00100000,00110000,00000000,00000000,00000000,00000000,00100000,00110000,01000000,00000000,00000000,00000000,00100000,00100000,00000000,01000000
MOD15A2.A2004145.fn_usmafort.005.2007280224610.FparLai_QC,MOD15A2,A2004145,fn_usmafort,2007280224610,FparLai_QC,01100001,00000000,01100001,00100000,00100000,01100001,00001000,00100000,00001000,00100000,01100001,01100001,01100001,01100001,00100000,01100001,01100001,01100001,00101000,00100000,00001000,00100000,00100000,01100001,01100001,01100001,00100000,00100000,00100000,01100001,00100000,01100001,01100001,00101000,00100000,01100001,01100001,01100001,01100001,00110000,00100000,00100000,01100001,01100001,01100001,00110000,00010000,00000000,00000000
MOD15A2.A2004145.fn_usmafort.005.2007280224610.FparStdDev_1km,MOD15A2,A2004145,fn_usmafort,2007280224610,FparStdDev_1km,248,3,248,0,0,248,7,0,7,0,248,248,248,248,0,248,248,248,5,5,5,1,0,248,248,248,4,0,0,248,5,248,248,8,5,248,248,248,248,8,6,5,248,248,248,4,8,7,4
MOD15A2.A2004145.fn_usmafort.005.2007280224610.Fpar_1km,MOD15A2,A2004145,fn_usmafort,2007280224610,Fpar_1km,93,80,89,90,90,93,45,90,46,90,95,94,93,92,90,92,94,94,88,87,59,89,90,92,92,93,88,94,90,93,88,92,92,84,87,94,92,93,92,84,86,87,93,92,94,88,60,77,61
MOD15A2.A2004145.fn_usmafort.005.2007280224610.LaiStdDev_1km,MOD15A2,A2004145,fn_usmafort,2007280224610,LaiStdDev_1km,248,4,248,2,2,248,3,2,3,2,248,248,248,248,2,248,248,248,11,11,3,4,2,248,248,248,11,1,2,248,11,248,248,14,11,248,248,248,248,14,12,11,248,248,248,11,4,7,3
MOD15A2.A2004145.fn_usmafort.005.2007280224610.Lai_1km,MOD15A2,A2004145,fn_usmafort,2007280224610,Lai_1km,53,37,48,66,66,55,13,66,12,66,56,57,56,54,66,53,63,57,52,50,19,62,66,54,53,55,52,68,66,56,52,54,54,46,50,57,54,55,54,46,49,50,56,54,63,52,21,35,22
MOD15A2.A2004153.fn_usmafort.005.2007283160700.FparExtra_QC,MOD15A2,A2004153,fn_usmafort,2007283160700,FparExtra_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00110000,00000000,00000000,00000000,00000000,00000000,00110000,00000000,00000000,00000000,00110000,00000000,00110000,00000000,00000000,00110000,00110000,00100000,00110000,00000000,00110000,00110000,00110000,00100000,01000000,00000000,00110000,00110000,00110000,00110000,00000000,00000000
MOD15A2.A2004153.fn_usmafort.005.2007283160700.FparLai_QC,MOD15A2,A2004153,fn_usmafort,2007283160700,FparLai_QC,01100001,01100001,01100001,00100000,00100000,01100001,01100001,00100000,01100001,00100000,01100001,01100001,01100001,01100001,00100000,01100001,00100000,00001000,01100001,01100001,01100001,00100000,00100000,00001000,01100001,01100001,01100001,00010000,00100000,00010000,01100001,01100001,00010000,00010000,00101000,00010000,01100001,00001000,00010000,00010000,00010000,00000000,01100001,00001000,00010000,00010000,00010000,01100001,01100001
MOD15A2.A2004153.fn_usmafort.005.2007283160700.FparStdDev_1km,MOD15A2,A2004153,fn_usmafort,2007283160700,FparStdDev_1km,248,248,248,0,0,248,248,0,248,0,248,248,248,248,0,248,0,5,248,248,248,1,0,8,248,248,248,8,1,8,248,248,6,8,8,8,248,4,8,8,7,5,248,5,2,7,8,248,248
MOD15A2.A2004153.fn_usmafort.005.2007283160700.Fpar_1km,MOD15A2,A2004153,fn_usmafort,2007283160700,Fpar_1km,90,89,88,90,90,88,90,90,89,90,91,89,90,90,90,89,90,52,89,89,89,89,90,50,89,90,90,53,89,53,87,90,60,51,85,48,89,55,56,52,73,74,90,61,85,54,49,89,89
MOD15A2.A2004153.fn_usmafort.005.2007283160700.LaiStdDev_1km,MOD15A2,A2004153,fn_usmafort,2007283160700,LaiStdDev_1km,248,248,248,2,2,248,248,2,248,1,248,248,248,248,2,248,0,2,248,248,248,6,2,3,248,248,248,4,4,4,248,248,3,4,14,3,248,2,4,4,6,4,248,3,5,3,3,248,248
MOD15A2.A2004153.fn_usmafort.005.2007283160700.Lai_1km,MOD15A2,A2004153,fn_usmafort,2007283160700,Lai_1km,45,46,46,66,65,46,50,66,47,65,47,47,49,49,66,48,66,15,48,48,48,60,66,14,46,49,49,16,63,16,43,49,19,15,47,14,47,16,17,15,26,26,50,19,51,16,14,47,48
MOD15A2.A2004161.fn_usmafort.005.2007286101123.FparExtra_QC,MOD15A2,A2004161,fn_usmafort,2007286101123,FparExtra_QC,00000000,01001000,01000000,01000000,00000000,00001000,00000000,00001000,00001000,01000000,01000000,00001000,00001000,00001000,00001000,00001000,00100000,00001000,00001000,00001000,00001000,00100000,00110000,00001000,00001000,00001000,00001000,00001000,00110000,01000000,00001000,00100000,00001000,00001000,00001000,01000000,00001000,01000000,00001000,00001000,00001000,00001000,00001000,00001000,01000000,00001000,00001000,00001000,00001000
MOD15A2.A2004161.fn_usmafort.005.2007286101123.FparLai_QC,MOD15A2,A2004161,fn_usmafort,2007286101123,FparLai_QC,01100001,00100000,00100000,00100000,00100000,00100000,01100001,00100000,00100000,00100000,01100001,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000
MOD15A2.A2004161.fn_usmafort.005.2007286101123.FparStdDev_1km,MOD15A2,A2004161,fn_usmafort,2007286101123,FparStdDev_1km,248,0,4,1,0,2,248,0,1,0,248,2,2,2,0,2,0,1,3,2,3,1,0,2,3,2,2,1,0,6,0,4,1,2,0,5,2,6,3,3,2,2,2,2,2,2,2,0,3
MOD15A2.A2004161.fn_usmafort.005.2007286101123.Fpar_1km,MOD15A2,A2004161,fn_usmafort,2007286101123,Fpar_1km,93,94,89,90,90,92,93,90,93,90,93,91,92,92,90,91,90,92,90,91,91,89,90,91,91,91,91,92,90,88,94,89,92,91,94,87,92,86,90,90,91,91,91,92,88,91,91,94,90
MOD15A2.A2004161.fn_usmafort.005.2007286101123.LaiStdDev_1km,MOD15A2,A2004161,fn_usmafort,2007286101123,LaiStdDev_1km,248,2,11,4,2,7,248,2,5,1,248,8,7,7,2,9,0,6,10,8,9,4,1,9,9,8,9,6,1,12,2,10,6,8,1,12,7,13,9,10,8,9,9,7,7,8,8,2,9
MOD15A2.A2004161.fn_usmafort.005.2007286101123.Lai_1km,MOD15A2,A2004161,fn_usmafort,2007286101123,Lai_1km,53,67,51,65,66,57,56,66,63,66,52,55,57,57,66,55,66,59,52,55,55,62,65,55,55,55,55,59,65,48,67,53,59,56,68,50,59,48,54,53,56,55,55,58,61,56,57,67,54
MOD15A2.A2004169.fn_usmafort.005.2007288133605.FparExtra_QC,MOD15A2,A2004169,fn_usmafort,2007288133605,FparExtra_QC,01001000,00001000,00001000,00000000,01000000,00000000,00000000,01000000,00001000,00000000,00001000,00001000,00000000,00001000,00001000,00001000,00000000,00001000,00001000,00000000,00100000,00001000,00000000,00000000,00000000,00100000,00110000,00001000,00100000,00100000,00000000,00100000,00100000,00001000,00110000,00100000,00000000,00001000,00001000,00001000,00001000,00110000,01000000,00000000,01000000,00001000,00001000,00110000,00001000
MOD15A2.A2004169.fn_usmafort.005.2007288133605.FparLai_QC,MOD15A2,A2004169,fn_usmafort,2007288133605,FparLai_QC,00100000,00100000,00100000,00100000,00000000,01100001,01100001,00000000,00100000,01100001,01100001,00100000,01100001,00100000,01100001,00100000,01100001,00100000,00100000,01100001,00000000,01100001,01100001,01100001,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000
MOD15A2.A2004169.fn_usmafort.005.2007288133605.FparStdDev_1km,MOD15A2,A2004169,fn_usmafort,2007288133605,FparStdDev_1km,7,1,1,1,5,248,248,7,1,248,248,1,248,1,248,0,248,0,1,248,7,248,248,248,0,9,8,2,1,8,6,8,9,1,9,8,5,0,1,3,1,8,9,4,2,1,2,8,1
MOD15A2.A2004169.fn_usmafort.005.2007288133605.Fpar_1km,MOD15A2,A2004169,fn_usmafort,2007288133605,Fpar_1km,86,92,92,89,82,92,94,57,93,93,94,92,94,93,93,93,94,93,92,93,76,92,93,92,93,83,84,91,89,84,86,85,83,92,83,84,87,94,93,91,93,85,83,88,87,93,92,85,93
MOD15A2.A2004169.fn_usmafort.005.2007288133605.LaiStdDev_1km,MOD15A2,A2004169,fn_usmafort,2007288133605,LaiStdDev_1km,13,5,7,6,9,248,248,4,5,248,248,7,248,4,248,3,248,3,6,248,7,248,248,248,0,14,14,8,3,13,12,13,14,6,14,14,11,0,5,9,4,14,14,10,8,4,7,14,4
MOD15A2.A2004169.fn_usmafort.005.2007288133605.Lai_1km,MOD15A2,A2004169,fn_usmafort,2007288133605,Lai_1km,45,61,59,60,45,54,57,21,61,62,54,59,57,63,61,65,63,65,59,56,32,61,62,54,68,45,46,56,65,47,49,47,45,60,45,46,51,68,61,54,63,47,45,53,57,64,57,47,62
MOD15A2.A2004177.fn_usmafort.005.2007291035545.FparExtra_QC,MOD15A2,A2004177,fn_usmafort,2007291035545,FparExtra_QC,01000000,00110000,00000000,00000000,00000000,00000000,01000000,00001000,00100000,00000000,00001000,00000000,01000000,01000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,01000000,00000000,00000000,00001000,00000000,00000000,01000000,01000000,01000000,00000000,00001000,00000000,00000000
MOD15A2.A2004177.fn_usmafort.005.2007291035545.FparLai_QC,MOD15A2,A2004177,fn_usmafort,2007291035545,FparLai_QC,00000000,00000000,01100001,01100001,01100001,01100001,00000000,00100000,00000000,01100001,01100001,01100001,00000000,00000000,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,00100000,01100001,01100001,00100000,01100001,01100001,01100001,01100001,01100001,00100000,01100001,01100001,00100000,01100001,01100001,00100000,00100000,00100000,01100001,00100000,01100001,01100001
MOD15A2.A2004177.fn_usmafort.005.2007291035545.FparStdDev_1km,MOD15A2,A2004177,fn_usmafort,2007291035545,FparStdDev_1km,10,7,248,248,248,248,0,0,3,248,248,248,7,7,248,248,248,248,248,248,248,248,248,248,248,248,248,1,248,248,4,248,248,248,248,248,2,248,248,1,248,248,2,0,0,248,1,248,248
